acc_pitch,acc_roll,acc_yaw,gyro_pitch,gyro_roll,gyro_yaw,magno_pitch,magno_roll,magno_yaw,y
0.15,1.04,-45.0,-0.1,-0.1,-0.1,14.55,7.67,-44.05,2
0.15,1.04,-45.0,-0.1,-0.1,-0.1,14.56,7.67,-44.05,2
0.15,1.04,-45.0,-0.1,-0.1,-0.1,14.56,7.68,-44.05,2
0.15,1.04,-45.0,-0.1,-0.1,-0.1,14.56,7.68,-44.05,2
0.15,1.18,-45.0,-0.1,-0.1,-0.1,14.56,7.68,-44.05,2
0.15,1.18,-45.0,-0.1,-0.1,-0.1,14.57,7.67,-44.05,2
0.15,1.19,-45.0,-0.1,-0.1,-0.1,14.56,7.68,-44.05,2
0.15,1.18,-45.0,-0.1,-0.1,-0.1,14.57,7.67,-44.05,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.57,7.68,-44.05,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.58,7.68,-44.05,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.59,7.67,-44.04,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.58,7.67,-44.04,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.59,7.68,-44.04,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.59,7.67,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.6,7.67,-44.04,2
0.0,1.18,-45.0,-0.1,-0.1,-0.1,14.59,7.66,-44.04,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.58,7.69,-44.04,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.58,7.69,-44.04,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.58,7.69,-44.04,2
0.0,1.33,-45.0,-0.1,-0.1,-0.1,14.57,7.68,-44.05,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.58,7.7,-44.04,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.58,7.69,-44.05,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.58,7.7,-44.04,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.59,7.71,-44.04,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.59,7.71,-44.04,2
0.15,1.33,-45.0,-0.1,-0.1,-0.1,14.59,7.7,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.59,7.71,-44.04,2
0.15,1.48,-45.0,-0.1,-0.1,-0.1,14.6,7.72,-44.04,2
0.0,1.33,-45.0,-0.1,-0.1,-0.1,14.59,7.71,-44.04,2
0.0,1.33,-45.0,-0.1,-0.1,-0.1,14.6,7.71,-44.04,2
0.0,1.48,-45.0,-0.1,-0.1,-0.1,14.6,7.71,-44.04,2
0.0,1.48,-45.0,-0.1,-0.1,-0.1,14.6,7.72,-44.04,2
0.0,1.48,-45.0,-0.1,-0.1,-0.1,14.6,7.72,-44.04,2
